Deck-Selector,Card-Name
Seto Kaiba,"['YZ-Tank Dragon', 'XY-Dragon Cannon', 'XZ-Tank Cannon', 'XYZ-Dragon Cannon', 'Doom Virus Dragon', 'Tyrant Burst Dragon', 'Blue-Eyes Ultimate Dragon', 'Negate Attack', ""Dragon's Rage"", 'Shadow Spell', 'Interdimensional Matter Transporter', 'Tyrant Wing', 'Ring of Destruction', 'Crush Card Virus', 'Crush Card Virus', 'White Dragon Ritual', 'Ring of Defense', 'Shrink', 'Enemy Controller', 'The Fang of Critias', 'Polymerization', 'Card of Demise', 'Graceful Charity', 'Pot of Greed', 'The Flute of Summoning Dragon', 'Soul Exchange', 'Des Feral Imp', 'Kaiser Sea Horse', 'Battle Ox', 'Vorse Raider', 'Blade Knight', 'Z-Metal Tank', 'Y-Dragon Head', 'X-Head Cannon', 'Ryu-Kishin Powered', 'Lord of D.', 'Different Dimension Dragon', 'Twin-Headed Behemoth', 'Spear Dragon', 'Kaiser Glider', 'Chaos Emperor Dragon - Envoy of the End', 'Luster Dragon #2', 'Paladin of White Dragon', 'Blue-Eyes White Dragon', 'Obelisk the Tormentor']"
Seto Kaiba DarkSide of Dimensions Deck,"['Buster Blader, the Dragon Destroyer Swordsman', 'Amulet Dragon', 'Blue-Eyes Twin Burst Dragon', 'Neo Blue-Eyes Ultimate Dragon', 'Five-Headed Dragon', 'Blue-Eyes Ultimate Dragon', 'Castle of Dragon Souls', 'Krystal Avatar', 'Induced Explosion', 'Counter Gate', ""Silver's Cry"", ""Dragon's Fighting Spirit"", 'Solidarity', 'Future Fusion', ""Dragon's Mirror"", 'Dragon Shrine', 'Cards of Consonance', 'The White Stone of Legend', 'The White Stone of Ancients', 'Sage with Eyes of Blue', 'Protector with Eyes of Blue', 'Master with Eyes of Blue', 'Maiden with Eyes of Blue', 'Totem Dragon', 'Lord of D.', 'Assault Wyvern', 'Kaiser Vorse Raider', 'Krystal Dragon', 'Pandemic Dragon', 'Dragon Spirit of White', 'Blue-Eyes Solid Dragon', 'Berserk Dragon', 'Obelisk the Tormentor', 'Deep-Eyes White Dragon', 'Alexandrite Dragon', 'Blue-Eyes White Dragon']"
Shaddoll 2020,"['Twin Twisters', 'Mind Control', 'Instant Fusion', 'Knightmare Unicorn', 'Thousand-Eyes Restrict', 'Effect Veiler', 'Droll & Lock Bird', 'D.D. Crow', 'Cross-Sheep', 'Shaddoll Construct', 'Mudragon of the Swamp', 'El Shaddoll Winda', 'El Shaddoll Wendigo', 'El Shaddoll Apkallone', 'Earth Golem @Ignister', 'El Shaddoll Grysta', 'Starving Venom Fusion Dragon', 'El Shaddoll Construct', 'El Shaddoll Anoyatyllis', 'El Shaddoll Shekhinaga', 'Resh Shaddoll Incarnation', 'Shaddoll Core', 'Emergency Teleport', 'El Shaddoll Fusion', 'Shaddoll Fusion', 'Foolish Burial', 'Shaddoll Falco', 'Ghost Ogre & Snow Rabbit', 'Ash Blossom & Joyous Spring', 'Shaddoll Hedgehog', 'Mathematician', 'Reeshaddoll Wendi', 'Naelshaddoll Ariel', 'Performage Hat Tricker', 'Performage Damage Juggler', 'Performage Trick Clown', 'Shaddoll Squamata', 'Shaddoll Dragon', 'Shaddoll Beast']"
Shooting Quasar Dragon,"['Galaxy Cyclone', 'Tatsunoko', 'Junk Gardna', 'Power Tool Dragon', 'Black-Winged Dragon', 'Red Supernova Dragon', 'Junk Connector', 'Assault Blackwing - Sayo the Rain Hider', 'Underworld Fighter Balmung', 'T.G. Hyper Librarian', 'Junk Berserker', 'Shooting Quasar Dragon', 'Draining Shield', 'Darksea Rescue', 'Tuningware']"
Six Samurai 2020,"['Evenly Matched', 'Red Reboot', 'Exchange', 'Battle Shogun of the Six Samurai', 'Isolde, Two Tales of the Noble Knights', 'Saryuja Skull Dread', 'Daigusto Emeral', 'Herald of the Arc Light', 'Legendary Six Samurai - Shi En', 'Borreload Savage Dragon', 'Temple of the Six', 'Living Fossil', 'Six Samurai United', ""Shien's Dojo"", 'Gateway of the Six', 'World Legacy Succession', ""Shien's Smoke Signal"", 'Reinforcement of the Army', 'Dark Ruler No More', 'Secret Six Samurai - Fuma', 'Secret Six Samurai - Hatsume', 'Legendary Secret of the Six Samurai', 'Secret Six Samurai - Kizaru', 'Legendary Six Samurai - Kageki', 'Legendary Six Samurai - Shinai', 'Legendary Six Samurai - Mizuho', 'Legendary Six Samurai - Kizan', 'Grandmaster of the Six Samurai', 'Great Shogun Shien']"
Six Samurai Deck,"['Secret Six Samurai - Rihan', 'Legendary Six Samurai - Shi En', 'Shadow of the Six Samurai - Shien', 'Reinforcements', 'Double-Edged Sword Technique', 'The Six Shinobi', 'That Six', 'Sixth Sense', 'Six Style - Dual Wield', 'Six Strike - Thunder Blast', 'Return of the Six Samurai', ""Shien's Scheme"", ""Shien's Smoke Signal"", ""Shien's Dojo"", ""Shien's Castle of Mist"", 'Temple of the Six', 'Six Strike - Triple Impact', 'Six Scrolls of the Samurai', 'Six Samurai United', 'Secret Skills of the Six Samurai', 'Gateway of the Six', 'Cunning of the Six Samurai', 'Asceticism of the Six Samurai', 'Monster Reincarnation', 'Reinforcement of the Army', 'The Warrior Returning Alive', 'Spirit of the Six Samurai', 'Double Resonator', 'Tenkabito Shien', ""Shien's Footsoldier"", ""Shien's Daredevil"", ""Shien's Advisor"", ""Enishi, Shien's Chancellor"", 'Great Shogun Shien', 'The Six Samurai - Zanji', 'The Six Samurai - Yariza', 'The Six Samurai - Yaichi', 'The Six Samurai - Nisashi', 'The Six Samurai - Kamon', 'The Six Samurai - Irou', 'Secret Six Samurai - Kizaru', 'Secret Six Samurai - Hatsume', 'Secret Six Samurai - Doji', 'Legendary Six Samurai - Shinai', 'Legendary Six Samurai - Mizuho', 'Legendary Six Samurai - Kizan', 'Legendary Six Samurai - Kageki', 'Legendary Six Samurai - Enishi', 'Legendary Secret of the Six Samurai', 'Hand of the Six Samurai', 'Grandmaster of the Six Samurai', 'Elder of the Six Samurai']"
Slifer The Sky Dragon,"['Call of the Haunted', 'Spellbinding Circle', 'Quaking Mirror Force', 'Appropriate', 'Mound of the Bound Creator', 'Soul Charge', 'The Monarchs Stormforth', 'Cost Down', 'Infinite Cards', 'Chainsaw Insect', ""Ra's Disciple"", 'Scapeghost', 'Marshmallon', 'Aroma Jar', 'Spirit Reaper', 'Slifer the Sky Dragon']"
Spright Runick,"['Red Resonator', 'Chaos Hunter', 'Thunder King Rai-Oh', 'Testudo erat Numen', 'Dharc the Dark Charmer, Gloomy', 'Spright Elf', 'Gigantic Spright', 'Number 65: Djinn Buster', 'Onibimaru Soul Sweeper', 'Number 29: Mannequin Cat', 'Hugin the Runick Wings', 'Geri the Runick Fangs', 'Runick Smiting Storm', 'Runick Dispelling', 'Runick Destruction', 'Runick Flashing Fire', 'Runick Slumber', 'Runick Tip', 'Runick Freezing Curses', 'Spright Smashers', 'Runick Fountain', 'Spright Starter', 'Wind-Up Kitten', 'Capshell', 'Ipiria', 'Spright Carrot', 'Spright Blue', 'Spright Red', 'Spright Jet', 'Lava Golem']"
Stardust Deck,"['Counter Counter', 'Follow Wing', 'Imperial Iron Wall', 'Revival Gift', 'Reanimation Wave', 'Shadow Impulse', 'Double Summon', 'Jet Warrior', 'Stardust Charge Warrior', 'Stardust Spark Dragon', 'Jet Synchron', 'Shiba-Warrior Taro', 'Dragon Knight Draco-Equiste', 'Witch of the Black Forest', 'Formula Synchron', 'Accel Synchron', 'Junk Warrior', 'Turbo Warrior', 'Junk Archer', 'Nitro Warrior', 'Stardust Dragon', 'Junk Destroyer', 'Stardust Warrior', 'Stardust Sifr Divine Dragon', 'Cosmic Blazar Dragon', 'Solemn Strike', 'Urgent Tuning', 'Scrap-Iron Scarecrow', 'Mirror Force', 'Synchro Deflector', 'Level Retuner', 'Starlight Road', 'Trap Stun', 'Starlight Junktion', 'Silver Wing', 'Limit Overdrive', 'Scrap Fist', 'Shrink', 'Double Cyclone', 'Mystical Space Typhoon', 'Stardust Shimmer', 'Mind Control', 'Turbo Synchron', 'Nitro Synchron', 'Junk Synchron', 'Quickdraw Synchron', 'Sonic Chick', 'Shield Wing', 'Synchron Explorer', 'Rush Warrior', 'Quillbolt Hedgehog', 'Speed Warrior', 'Junk Defender', 'Sangan', 'Junk Servant', 'Justice Bringer', 'Trident Warrior', 'Rockstone Warrior', 'Junk Breaker', 'Bright Star Dragon', 'Thunder King Rai-Oh', 'Junk Giant']"
Stardust deck,"['Stardust Wish', 'Cosmic Flare', 'Reasoning', 'Star Blast', 'Mind Control', 'Stardust Spark Dragon', 'PSY-Framelord Omega', 'Delta Flyer', 'Photon Thrasher', 'Junk Giant', 'Formula Synchron', 'Accel Synchron', 'Junk Speeder', 'Stardust Charge Warrior', 'Stardust Assault Warrior', 'Shooting Riser Dragon', 'Black Rose Dragon', 'Stardust Dragon', 'Junk Destroyer', 'Crystal Wing Synchro Dragon', 'Satellite Warrior', 'Stardust Chronicle Spark Dragon', 'Shooting Star Dragon', 'Shooting Quasar Dragon', 'Scrap-Iron Scarecrow', 'Back to the Front', 'Stardust Flash', 'Tuning', 'Monster Reborn', 'Foolish Burial', 'Reinforcement of the Army', 'Raigeki', 'One for One', 'Unknown Synchron', 'Jester Confit', 'Jet Synchron', 'Synchron Explorer', 'Satellite Synchron', 'Doppelwarrior', 'Quillbolt Hedgehog', 'Spell Striker', 'Junk Forward', 'Junk Synchron', 'Junk Servant', 'Quickdraw Synchron', 'The Tricky']"
Sword Soul,"['Yazi, Evil of the Yang Zing', 'Token Collector', 'Ghost Belle & Haunted Mansion', 'Droll & Lock Bird', 'Shooting Riser Dragon', 'Divine Arsenal AA-ZEUS - Sky Thunder', 'Number 41: Bagooska the Terribly Tired Tapir', 'Virtual World Kyubi - Shenshen', 'Draco Berserker of the Tenyi', 'Ruddy Rose Dragon', 'Baronne de Fleur', 'Crimson Blader', 'PSY-Framelord Omega', 'Baxia, Brightness of the Yang Zing', 'Adamancipator Risen - Dragite', 'Swordsoul Grandmaster - Chixiao', 'Swordsoul Supreme Sovereign - Chengying', 'Magikey Beast - Ansyalabolas', 'Swordsoul Blackout', 'Imperial Order', 'Swordsoul Sacred Summit', 'Swordsoul Emergence', 'PSY-Frame Driver', 'PSY-Framegear Gamma', 'Incredible Ecclesia, the Virtuous', 'The Iris Swordsoul', 'Swordsoul of Mo Ye', 'Swordsoul of Taia', 'Swordsoul Strategist Longyuan']"
Synchron Deck for Master Duel,"['Beelzeus of the Diabolic Dragons', 'Shooting Star Dragon', 'Trishula, Dragon of the Ice Barrier', 'Crystal Wing Synchro Dragon', 'Black Rose Dragon', 'Brionac, Dragon of the Ice Barrier', 'Junk Speeder', 'Armory Arm', 'Martial Metal Marcher', 'Shard of Greed', 'Lightning Storm', 'Necroid Synchro', 'Tuning', 'One for One', 'Reinforcement of the Army', 'Foolish Burial', 'Monster Reborn', 'Dark Hole', 'Gameciel, the Sea Turtle Kaiju', 'Satellite Synchron', 'Mathematician', 'Junk Converter', 'PSY-Framegear Gamma', 'Doppelwarrior', 'Synchron Carrier', 'Fleur Synchron', 'Cyberse Synchron', 'Dotscaper', 'Boost Warrior', 'Turbo Booster', 'PSY-Frame Driver']"
Tearalaments Ishizu,"['Infinite Impermanence', 'Crossout Designator', 'Dark Ruler No More', 'Ghost Ogre & Snow Rabbit', 'Ghost Belle & Haunted Mansion', 'Divine Arsenal AA-ZEUS - Sky Thunder', 'Number 41: Bagooska the Terribly Tired Tapir', 'Time Thief Redoer', 'Abyss Dweller', 'Knightmare Unicorn', 'Spright Elf', 'Barricadeborg Blocker', 'Baronne de Fleur', 'Predaplant Dragostapelia', 'El Shaddoll Winda', 'Tearlaments Kitkallos', 'Tearlaments Kaleido-Heart', 'Tearlaments Rulkallos', ""Gravekeeper's Trap"", 'Exchange of Despair and Hope', 'Tearlaments Cryme', 'Primeval Planet Perlereino', 'Herald of Orange Light', 'Diviner of the Herald', 'Kelbek the Ancient Vanguard', 'Agido the Ancient Sentinel', 'Mudora the Sword Oracle', 'Keldo the Sacred Protector', 'Tearlaments Merrli', 'Tearlaments Havnis', 'Tearlaments Scheiren', 'Tearlaments Reinoheart', 'Shaddoll Squamata', 'Shaddoll Beast']"
The God Cards (via Kidhero1000) V0.1,"['Malevolent Catastrophe', 'Not Found', 'Magical Mallet', 'Gold Sarcophagus', 'Kuraz the Light Monarch', 'Holactie the Creator of Light', 'Call of the Haunted', 'Dimension Guardian', 'The First Monarch', 'Jar of Avarice', 'Mound of the Bound Creator', 'Mystik Wok', 'The Monarchs Stormforth', 'Card Advance', 'The True Name', 'Scapeghost', 'Aroma Jar', 'Cardcar D', 'Nimble Momonga', 'Marshmallon', 'Silent Wobby', ""Ra's Disciple"", 'Mobius the Mega Monarch', 'The Winged Dragon of Ra - Sphere Mode', 'The Winged Dragon of Ra - Immortal Phoenix', 'Obelisk the Tormentor']"
Toon Deck 2022 for Master Duel,"['Underworld Goddess of the Closed World', 'Abyss Dweller', 'Tornado Dragon', 'Bahamut Shark', 'Number 38: Hope Harbinger Dragon Titanic Galaxy', 'Relinquished Anima', 'Toadally Awesome', 'Toon Terror', ""Harpie's Feather Duster"", 'Pot of Extravagance', 'Mimicat', 'Comic Hand', 'Toon Page-Flip', 'Toon Bookmark', 'Toon Harpie Lady', 'Toon Black Luster Soldier']"
Toon deck,"['Call of the Haunted', 'Toon Defense', 'Toon Mask', 'Toon Briefcase', 'Swords of Revealing Light', 'Enemy Controller', 'Pot of Greed', 'Monster Reborn', 'Toon World', 'Toon World', 'Toon Kingdom', 'Toon Table of Contents', 'Toon Rollback', 'Shadow Toon', 'The Black Stone of Legend', 'Parrot Dragon', 'Toon Alligator', 'Toon Ancient Gear Golem', 'Manga Ryu-Ran', 'Blue-Eyes Toon Dragon', 'Toon Buster Blader', 'Toon Barrel Dragon', 'Toon Dark Magician', 'Red-Eyes Toon Dragon', 'Toon Summoned Skull', 'Toon Dark Magician Girl', 'Toon Cyber Dragon', 'Toon Goblin Attack Force', 'Toon Masked Sorcerer', 'Toon Cannon Soldier', 'Toon Gemini Elf', 'Toon Mermaid']"
Tri-Brigade Lyrilusc,"[""Harpie's Feather Storm"", 'Red Reboot', 'Lightning Storm', 'PSY-Frame Driver', 'PSY-Framegear Gamma', 'Nibiru, the Primal Being', 'Ancient Warriors Oath - Double Dragon Lords', 'Salamangreat Almiraj', 'Tri-Brigade Ferrijit the Barren Blossom', 'Simorgh, Bird of Sovereignty', 'Accesscode Talker', 'Tri-Brigade Shuraig the Ominous Omen', 'Tri-Brigade Rugal the Silver Sheller', 'Apollousa, Bow of the Goddess', 'Lyrilusc - Ensemblue Robin', 'Lyrilusc - Recital Starling', 'Lyrilusc - Assembled Nightingale', 'Number F0: Utopic Draco Future', 'Number F0: Utopic Future', 'Divine Arsenal AA-ZEUS - Sky Thunder', 'Infinite Impermanence', 'Pot of Desires', 'Forbidden Droplet', 'Lyrilusc - Bird Call', 'Triple Tactics Talent', 'Foolish Burial', 'Fire Formation - Tenki', 'One for One', 'Mist Valley Apex Avian', 'D.D. Crow', 'Lyrilusc - Celestine Wagtail', 'Lyrilusc - Beryl Canary', 'Lyrilusc - Cobalt Sparrow', 'Lyrilusc - Turquoise Warbler', 'Lyrilusc - Sapphire Swallow', 'Tri-Brigade Kitt', 'Tri-Brigade Kerass', 'Tri-Brigade Nervall', 'Tri-Brigade Fraktall']"
Unbreakable Numeron Deck 2021,"['Number iC1000: Numerounius Numerounia', 'Number C1000: Numerounius', 'Number 3: Numeron Gate Trini', 'Number 4: Numeron Gate Catvari', 'Number 2: Numeron Gate Dve', 'Number 1: Numeron Gate Ekam', 'Number C1: Numeron Chaos Gate Sunya', 'Infinitrack Fortress Megaclops', 'Red Reboot', 'Hey, Trunade!', 'Forbidden Droplet', ""Dark Spirit's Mastery"", 'Lava Golem', 'Unchained Twins - Aruha', 'Left Arm Offering', 'Unchained Twins - Rakea', 'Planet Pathfinder', 'One Day of Peace', 'Terraforming', 'Numeron Chaos Ritual', 'Numeron Wall', 'Numeron Calling', 'Numeron Network']"
Winged Dragon of Ra - 2020,"['Triple Tactics Talent', 'Egyptian God Slime', 'Secure Gardna', 'Linkuriboh', 'Sun God Unification', 'Metal Reflect Slime', 'Blaze Cannon', 'Millennium Revelation', 'Ancient Chant', 'Pot of Extravagance', 'Volcanic Rocket', 'Reactor Slime', 'Guardian Slime', ""Ra's Disciple"", 'The Winged Dragon of Ra - Sphere Mode', 'The Winged Dragon of Ra', 'The Winged Dragon of Ra - Immortal Phoenix']"
Winged Dragon of Ra Deck,"['Dark Bribe', 'Royal Decree', 'The First Monarch', 'Magic Cylinder', 'Draining Shield', 'The Monarchs Stormforth', 'Legacy of the Duelist', 'Mound of the Bound Creator', 'The True Name', 'Raigeki', 'Card Advance', 'Marshmacaron', 'Aroma Jar', 'Nimble Momonga', 'Marshmallon', 'Deep Diver', ""Ra's Disciple"", 'Phantom of Chaos', 'The Winged Dragon of Ra - Sphere Mode', 'The Winged Dragon of Ra - Immortal Phoenix', 'The Winged Dragon of Ra']"
World Championship 2016 Deck,"['Mask of Restrict', 'Xyz Universe', 'Magical Spring', 'Forbidden Chalice', 'Dark Hole', 'The Fabled Catsith', 'Ally of Justice Cycle Reader', 'Cyber Dragon Infinity', 'Alsei, the Sylvan High Protector', 'Hieratic Sun Dragon Overlord of Heliopolis', 'Number 46: Dragluon', 'Number 62: Galaxy-Eyes Prime Photon Dragon', ""Vanity's Emptiness"", 'Phoenix Wing Wind Blast', 'Cards of Consonance', 'Effect Veiler']"
World Championship 2017 Deck,"['Solemn Warning', 'Solemn Strike', 'Mask of Restrict', 'Different Dimension Ground', 'Skull Meister', 'Castel, the Skyblaster Musketeer', 'Evolzar Laggia', 'Phantom Fortress Enterblathnir', 'True King of All Calamities', 'Herald of the Arc Light', 'Denglong, First of the Yang Zing', 'Hi-Speedroid Chanbara', 'Black Rose Dragon', 'Yazi, Evil of the Yang Zing', 'Baxia, Brightness of the Yang Zing', 'Cloudcastle', 'Trishula, Dragon of the Ice Barrier', 'Leo, the Keeper of the Sacred Tree', 'Nine Pillars of Yang Zing', 'Lost World', 'Dragonic Diagram', 'Fossil Dig', 'Yang Zing Path', 'Chiwen, Light of the Yang Zing', 'Jurrac Aeolo', 'Maxx ""C""', 'Petiteranodon', 'Babycerasaurus', ""Bi'an, Earth of the Yang Zing"", 'Souleating Oviraptor', 'Miscellaneousaurus', 'Suanni, Fire of the Yang Zing', 'True King Lithosagym, the Disaster', 'True King Agnimazud, the Vanisher', 'Ultimate Conductor Tyranno']"
Yami Marik - Battle City,"['Jam Defender', 'Relieve Monster', ""Fiend's Hand Mirror"", 'Jam Breeding Machine', 'Polymerization', 'Machine Duplication', 'The Mask of Remnants', 'Card of Sanctity', 'Viser Des', 'Legendary Fiend', 'Masked Beast Des Gardius', 'Worm Drake', 'Grand Tiki Elder', 'Humanoid Worm Drake', 'Nightmare Wheel', 'Coffin Seller', 'Hidden Soldiers', 'Rope of Life', 'Malevolent Catastrophe', 'Black Pendant', 'Premature Burial', 'Vengeful Bog Spirit', 'Spell of Pain', 'Magical Stone Excavation', 'Spell Reproduction', 'Left Arm Offering', 'Remove Trap', 'Bait Doll', 'Tribute Burial', 'Bowganian', 'Viser Des', 'Holding Arms', 'Holding Legs', 'Dark Jeroid', 'Newdoria', 'Lord Poison', 'Revival Jam', 'Drillago', 'Makyura the Destructor', 'Juragedo', 'Lekunga', 'Granadora', 'Helpoemer', 'Humanoid Slime', 'Melchid the Four-Face Beast', 'Gil Garth', 'Metal Reflect Slime', 'Lava Golem']"
Yami Yugi,"['Dark Magician Girl the Dragon Knight', 'Amulet Dragon', 'Chimera the Flying Mythical Beast', 'Dark Paladin', 'Arcana Knight Joker', 'Arcana Knight Joker', 'Soul Rope', 'Magic Cylinder', 'Black Illusion', 'Dark Renewal', 'Black Magic Ritual', 'Mystical Space Typhoon', 'De-Fusion', ""Fiend's Sanctuary"", 'The Eye of Timaeus', 'Fissure', 'Swords of Revealing Light', 'Thousand Knives', 'Magic Formula', 'Dark Magic Curtain', 'Magician of Black Chaos', 'Electromagnetic Turtle', 'Obnoxious Celtic Guard', 'Gamma the Magnet Warrior', 'Beta The Magnet Warrior', 'Alpha The Magnet Warrior', 'Valkyrion the Magna Warrior', 'Breaker the Magical Warrior', 'Gazelle the King of Mythical Beasts', 'Berfomet', ""Jack's Knight"", ""King's Knight"", ""Queen's Knight"", 'Skilled Dark Magician', 'Dark Magician Girl', 'Dark Magician', 'The Winged Dragon of Ra', 'Slifer the Sky Dragon']"
Yubel deck,"['Time Machine', 'Mirror Force', 'Limit Reverse', 'Dark Coffin', 'Call of the Haunted', 'Mystical Space Typhoon', 'Exile of the Wicked', 'Swing of Memories', 'Treeborn Frog', 'Doom Shaman', 'Yubel - The Ultimate Nightmare', 'Yubel - Terror Incarnate', 'Yubel', 'Phantom of Chaos', 'Necro Gardna', 'Hand of Nephthys', 'Dark Grepher', 'Kuriboh', 'Sacred Phoenix of Nephthys']"
Yugi Moto Movie Deck (via shinGX) V0.1,"['Dimension Sphinx', ""Magicians' Defense"", 'Spiritual Swords of Revealing Light', 'Dimension Mirage', 'Dimension Guardian', 'Metalhold the Moving Blockade', 'Metamorphortress', 'Magic Cylinder', 'Final Geas', 'Dark Horizon', 'Dig of Destiny', 'Magical Dimension', 'Dark Magic Veil', 'Gold Sarcophagus', 'Magical Contract Door', 'Marshmacaron', 'Clear Kuriboh', 'Berry Magician Girl', 'Lemon Magician Girl', 'Apple Magician Girl', 'Sentry Soldier of Stone', 'Yellow Gadget', 'Red Gadget', 'Green Gadget', 'Silver Gadget', 'Chocolate Magician Girl', 'Gold Gadget', 'Kiwi Magician Girl', 'Silent Swordsman LV5', 'Dark Magician Girl', 'Lord Gaia the Fierce Knight', 'Palladium Oracle Mahad', 'Silent Swordsman LV7', 'Gandora-X the Dragon of Demolition', 'Dark Magician']"
Yugi Muto (Battle City) Deck,"['Time Seal', 'The Regulation of Tribe', 'Spellbinding Circle', 'Seven Tools of the Bandit', 'Mystical Refpanel', 'Magical Hats', 'Light of Intervention', 'Lightforce Sword', 'Dust Tornado', 'Collected Power', 'Chain Destruction', 'Soul Taker', 'Magical Dimension', 'Exchange', 'Double Spell', 'Diffusion Wave-Motion', 'De-Spell', 'Change of Heart', 'Card of Sanctity', 'Card Destruction', 'Brain Control', 'Kuriboh', 'Big Shield Gardna', 'Archfiend of Gilfer', 'Summoned Skull', 'Buster Blader', 'Dark Magician Girl', 'Slifer the Sky Dragon', 'Dark Magician']"
Yusei Fudo - DECK,"['Shooting Star', 'Stardust Re-Spark', 'Converging Wishes', 'Mighty Warrior', 'Colossal Fighter', 'Stardust Warrior', 'Stardust Sifr Divine Dragon', 'Cosmic Blazar Dragon', 'Dragon Knight Draco-Equiste', 'Drill Synchron', 'Junk Blader', 'Colossal Fighter/Assault Mode', 'Junk Warrior', 'Junk Gardna', 'Turbo Warrior', 'Junk Archer', 'Lightning Warrior', 'Junk Berserker', 'Majestic Star Dragon', 'Urgent Tuning', 'Assault Mode Activate', 'Junk Barrage', 'Inferno Reckless Summon', 'Stardust Shimmer', 'Foolish Burial', 'Stardust Phantom', 'Majestic Dragon', 'Turbo Synchron', 'Speed Warrior', 'Hyper Synchron', 'Max Warrior', 'Bright Star Dragon', 'Stardust Dragon/Assault Mode']"
Zodiac Beasts (via Stormesp) V0.1,"['Number F0: Utopic Future', 'M-X-Saber Invoker', 'Zoodiac Broadbull', 'Zoodiac Boarbow', 'Zoodiac Drident', 'Zoodiac Tigermortar', 'Coach King Giantrainer', 'Number 38: Hope Harbinger Dragon Titanic Galaxy', 'Solemn Warning', 'Solemn Strike', 'Zoodiac Combo', 'Drowning Mirror Force', 'Zodiac Sign', 'Fire Formation - Tenki', 'Zoodiac Barrage', 'Fire Formation - Tensu', 'Cattle Call', 'Twin Twisters', 'Xyz Gift', 'Maxx ""C""', 'Speedroid Taketomborg', 'Speedroid Terrortop', 'Zoodiac Ratpier', 'Zoodiac Ramram', 'Zoodiac Bunnyblast', 'Zoodiac Whiptail', 'Zoodiac Thoroughblade', 'Coach Captain Bearman']"
